"inipop","PrQExt","minNmd","minNmlo","minMmup"
29480,0.0485,1397.97765297092,347.681027315731,2774.12359874975
29475,0.045,1412.00241611776,357.730220169439,2775.79359607497
29470,0.0449,1421.40571511561,355.587228151609,2774.17588271488
29465,0.0448,1416.52011994562,355.685527427029,2788.16349514199
29460,0.0446,1416.23970367756,354.651644026454,2781.87501488141
29455,0.0453,1438.78406391427,353.594540858203,2781.00694569553
29450,0.0427,1414.99967445963,349.385965900618,2791.79195073655
29445,0.0494,1441.00317601921,347.60631454055,2763.50293204612
29440,0.0425,1414.02316600684,358.731744599685,2773.7600266852
29435,0.0466,1420.58769532688,353.95152497945,2776.41926158141
29430,0.0468,1412.01092480563,348.820394987496,2777.31498854299
29425,0.0453,1415.64120046519,353.025223545545,2786.04240275881
29420,0.0494,1411.73519390987,340.762729323665,2775.55619222932
29415,0.0493,1407.10846946456,346.877257898784,2776.10583833002
29410,0.045,1410.36834581843,354.303688411247,2772.6819133107
29405,0.0431,1434.94978251003,357.0049966464,2757.18623745331
29400,0.0435,1401.35829045458,356.519335077576,2764.05482129795
29395,0.0453,1398.7156462214,354.884442872411,2752.70712941578
29390,0.0461,1410.41819490523,351.549681346992,2770.27363801559
29385,0.0486,1402.98131473042,347.672948420334,2777.6935079002
29380,0.0445,1416.6117513892,350.562067593761,2763.61076484276
29375,0.0471,1400.76354154444,346.996692292366,2765.82488525597
29370,0.0446,1419.7375433648,352.562492464062,2770.36916101303
29365,0.0429,1397.50861426976,358.336409018434,2748.28167386634
29360,0.0451,1412.78983404359,346.982469211539,2763.54347244928
29355,0.0464,1390.10456518636,345.858306090645,2756.94354057303
29350,0.0446,1418.55421339032,358.043159256402,2774.72089047867
29345,0.0437,1404.92749883821,357.240712074237,2753.02581035183
29340,0.047,1402.93656196949,351.197845551224,2749.08880573767
29335,0.0491,1405.20760149188,348.057369445746,2755.02643355254
29330,0.0421,1406.67359075577,355.323328587193,2758.4066466336
29325,0.0409,1403.4234937361,358.433358010102,2774.67330856483
29320,0.0438,1422.87211195375,354.388672117415,2759.94157878967
29315,0.0448,1417.75545813665,351.040242919919,2761.85550287872
29310,0.0407,1423.7940786009,357.835027224749,2771.68495264349
29305,0.0427,1402.47241038899,355.737781403176,2755.07333036197
29300,0.0439,1435.71175033775,351.947686893747,2758.6581993181
29295,0.0455,1427.26361266793,350.335107308614,2774.13825287625
29290,0.0424,1400.11640348239,355.088499281016,2746.66123141945
29285,0.0411,1409.48265779465,353.91937397207,2774.68285864935
29280,0.0473,1398.91315884663,350.584223015835,2747.86891977855
29275,0.0453,1406.86229126926,351.226328464251,2749.1032380159
29270,0.0463,1429.60603933016,349.81072101238,2758.01774910001
29265,0.0401,1414.18383746105,360.62681440558,2766.55927691149
29260,0.0462,1404.19925462134,347.258055774521,2764.3089684147
29255,0.0447,1396.25464878051,355.049014995989,2747.6259732161
29250,0.0479,1413.44926827844,349.431007280004,2778.27282255626
29245,0.0451,1402.77423164289,348.832955104788,2748.23053076649
29240,0.0448,1395.50422083331,362.254539095641,2759.3919860922
29235,0.0449,1412.64988732201,351.616406376852,2763.30892448283
29230,0.0443,1404.68401794391,345.52404471191,2751.22209354923
29225,0.0444,1393.35471061623,352.480205249689,2766.45127991671
29220,0.0465,1417.84981761117,348.665920628952,2749.57322612123
29215,0.0443,1401.39175604991,354.382761502271,2762.20607387001
29210,0.0465,1401.18443231039,348.706982605021,2760.76632164655
29205,0.0408,1405.16135914931,362.329798177812,2752.80947845443
