"harv.p.vec","r.mn.harv","r.mn.lo","r.mn.up"
0.59,-0.0744448396614675,-0.0757725894900447,-0.0734183752223574
0.6,-0.0751821094308145,-0.0765376608109684,-0.0738076756727831
0.61,-0.0757502443460749,-0.0776148673827677,-0.0748930707270163
0.62,-0.076399220841699,-0.0776966683830238,-0.0752475931424022
0.63,-0.0769206085615571,-0.0781242556132208,-0.0757754550423297
0.64,-0.0775615254416,-0.0791902004162166,-0.0768169507246126
0.65,-0.0780576974014558,-0.0791101683213672,-0.0768045301262527
0.66,-0.0790164931833836,-0.0799880141226026,-0.077619473341111
0.67,-0.0792084159271268,-0.0805204961875861,-0.0778865284422309
0.68,-0.0799500389554593,-0.0812578724755288,-0.0787547923990165
0.69,-0.0804529690920161,-0.0818210572409101,-0.079232673001658
0.7,-0.08104894852301,-0.0822424337890037,-0.0795185976828872
0.71,-0.0816537628470565,-0.082720506772507,-0.0805208438554751
0.72,-0.0824233452298578,-0.083760844254185,-0.081329034001856
0.73,-0.0830439612870756,-0.0847028971090337,-0.081875767100858
0.74,-0.0832466564985953,-0.0847688124107895,-0.0823599522343338
0.75,-0.0840321336569996,-0.0852675762206002,-0.0827578184962504
0.76,-0.0845299344611708,-0.0863140285500736,-0.083432522950647
0.77,-0.0852864596883723,-0.0864277657673538,-0.0839829039973536
0.78,-0.0856357441399833,-0.0870225362061962,-0.0848031576052316
0.79,-0.0862447588818869,-0.0872730843789719,-0.0853668509420533
0.8,-0.0870610811274821,-0.0883607183588341,-0.0857054491621351
0.81,-0.0875084728701926,-0.0886534335075061,-0.086273799075551
0.82,-0.0881730050737257,-0.0894834890195923,-0.0866827338742252
0.83,-0.0886217478563627,-0.0900968404410701,-0.0874966592110099
0.84,-0.0893622396353737,-0.0907471463308444,-0.0881543633809836
0.85,-0.0897704772774651,-0.09163730688035,-0.0887775303029414
0.86,-0.0905431108860747,-0.0917388328817404,-0.0891518089654839
0.87,-0.0911636878116213,-0.092139729046661,-0.0898346205273381
0.88,-0.0917672680836158,-0.0925820978654398,-0.090150212517204
0.89,-0.0923331739300242,-0.0933704697321362,-0.0911115547053858
0.9,-0.0928228019043582,-0.0943847337574848,-0.0915783129721636
0.91,-0.0934526566803904,-0.0948687478826531,-0.0922412485635755
0.92,-0.0940431835649173,-0.0952222129481629,-0.0929396824210376
0.93,-0.094507040812592,-0.0956268132645986,-0.0933145120264782
0.94,-0.0952201806993568,-0.0964583861865054,-0.0938133352360793
0.95,-0.095760190416182,-0.0969533114344793,-0.0946557623721284
